Index,Distance
91198,0.4556741
86230,0.4964392
64198,0.5139621
92926,0.5167252
38638,0.5186035
106282,0.5226213
83566,0.5249602
130834,0.5277981
78382,0.5428659
103726,0.5496628
114346,0.5537546
118558,0.5659746
62326,0.5740869
76258,0.584614
36946,0.5893122
42526,0.5900713
23266,0.5915295
25606,0.5963709
56745,0.6007028
56769,0.6007028
124030,0.6018188
131158,0.6034873
24778,0.6045427
66718,0.6087316
64054,0.6113906
40834,0.6139359
104949,0.6153017
104973,0.6153017
136450,0.6178992
65889,0.6195276
65913,0.6195276
72622,0.6204886
84538,0.6205705
141778,0.6239754
102250,0.6242751
75970,0.6269219
69347,0.6269714
103293,0.6277757
103317,0.6277757
105778,0.6342185
141670,0.6407594
88930,0.6414216
49906,0.6423264
126298,0.6455255
30970,0.6465448
132130,0.649711
26578,0.6521056
55917,0.6547985
55941,0.6547985
99622,0.655883
138070,0.6559027
86698,0.657234
141994,0.659663
78490,0.6602334
54802,0.6608622
134722,0.6610034
143830,0.6658233
46666,0.6658477
49078,0.6659247
139906,0.6669546
140986,0.6693805
28882,0.6702753
143326,0.6703287
61246,0.673069
